0x8d3  ࣓     ARABIC SMALL LOW WAW
0x8d4  ࣔ     ARABIC SMALL HIGH WORD AR-RUB
0x8d5  ࣕ     ARABIC SMALL HIGH SAD
0x8d6  ࣖ     ARABIC SMALL HIGH AIN
0x8d7  ࣗ     ARABIC SMALL HIGH QAF
0x8d8  ࣘ     ARABIC SMALL HIGH NOON WITH KASRA
0x8d9  ࣙ     ARABIC SMALL LOW NOON WITH KASRA
0x8da  ࣚ     ARABIC SMALL HIGH WORD ATH-THALATHA
0x8db  ࣛ     ARABIC SMALL HIGH WORD AS-SAJDA
0x8dc  ࣜ     ARABIC SMALL HIGH WORD AN-NISF
0x8dd  ࣝ     ARABIC SMALL HIGH WORD SAKTA
0x8de  ࣞ     ARABIC SMALL HIGH WORD QIF
0x8df  ࣟ     ARABIC SMALL HIGH WORD WAQFA
0x8e0  ࣠     ARABIC SMALL HIGH FOOTNOTE MARKER
0x8e1  ࣡     ARABIC SMALL HIGH SIGN SAFHA
0x8e2  ࣢     ARABIC DISPUTED END OF AYAH
