0xfbb2  ﮲     ARABIC SYMBOL DOT ABOVE
0xfbb3  ﮳     ARABIC SYMBOL DOT BELOW
0xfbb4  ﮴     ARABIC SYMBOL TWO DOTS ABOVE
0xfbb5  ﮵     ARABIC SYMBOL TWO DOTS BELOW
0xfbb6  ﮶     ARABIC SYMBOL THREE DOTS ABOVE
0xfbb7  ﮷     ARABIC SYMBOL THREE DOTS BELOW
0xfbb8  ﮸     ARABIC SYMBOL THREE DOTS POINTING DOWNWARDS ABOVE
0xfbb9  ﮹     ARABIC SYMBOL THREE DOTS POINTING DOWNWARDS BELOW
0xfbba  ﮺     ARABIC SYMBOL FOUR DOTS ABOVE
0xfbbb  ﮻     ARABIC SYMBOL FOUR DOTS BELOW
0xfbbc  ﮼     ARABIC SYMBOL DOUBLE VERTICAL BAR BELOW
0xfbbd  ﮽     ARABIC SYMBOL TWO DOTS VERTICALLY ABOVE
0xfbbe  ﮾     ARABIC SYMBOL TWO DOTS VERTICALLY BELOW
0xfbbf  ﮿     ARABIC SYMBOL RING
0xfbc0  ﯀     ARABIC SYMBOL SMALL TAH ABOVE
0xfbc1  ﯁     ARABIC SYMBOL SMALL TAH BELOW
0xfbc2  ﯂     ARABIC SYMBOL WASLA ABOVE
