0xfd40  ﵀     ARABIC LIGATURE RAHIMAHU ALLAAH
0xfd41  ﵁     ARABIC LIGATURE RADI ALLAAHU ANH
0xfd42  ﵂     ARABIC LIGATURE RADI ALLAAHU ANHAA
0xfd43  ﵃     ARABIC LIGATURE RADI ALLAAHU ANHUM
0xfd44  ﵄     ARABIC LIGATURE RADI ALLAAHU ANHUMAA
0xfd45  ﵅     ARABIC LIGATURE RADI ALLAAHU ANHUNNA
0xfd46  ﵆     ARABIC LIGATURE SALLALLAAHU ALAYHI WAAALIH
0xfd47  ﵇     ARABIC LIGATURE ALAYHI AS-SALAAM
0xfd48  ﵈     ARABIC LIGATURE ALAYHIM AS-SALAAM
0xfd49  ﵉     ARABIC LIGATURE ALAYHIMAA AS-SALAAM
0xfd4a  ﵊     ARABIC LIGATURE ALAYHI AS-SALAATU WASSALAAM
0xfd4b  ﵋     ARABIC LIGATURE QUDDISA SIRRAH
0xfd4c  ﵌     ARABIC LIGATURE SALLALLAHU ALAYHI
WAAALIHEE WA-SALLAM
0xfd4d  ﵍     ARABIC LIGATURE ALAYHAA AS-SALAAM
0xfd4e  ﵎     ARABIC LIGATURE TABAARAKA WA-TAAALAA
0xfd4f  ﵏     ARABIC LIGATURE RAHIMAHUM ALLAAH
