0x600  ؀     ARABIC NUMBER SIGN
0x601  ؁     ARABIC SIGN SANAH
0x602  ؂     ARABIC FOOTNOTE MARKER
0x603  ؃     ARABIC SIGN SAFHA
0x604  ؄     ARABIC SIGN SAMVAT
0x605  ؅     ARABIC NUMBER MARK ABOVE
0x606  ؆     ARABIC-INDIC CUBE ROOT
0x607  ؇     ARABIC-INDIC FOURTH ROOT
0x608  ؈     ARABIC RAY
0x609  ؉     ARABIC-INDIC PER MILLE SIGN
0x60a  ؊     ARABIC-INDIC PER TEN THOUSAND SIGN
0x60b  ؋     AFGHANI SIGN
0x60c  ،     ARABIC COMMA
0x60d  ؍     ARABIC DATE SEPARATOR
0x60e  ؎     ARABIC POETIC VERSE SIGN
0x60f  ؏     ARABIC SIGN MISRA
0x610  ؐ     ARABIC SIGN SALLALLAHOU ALAYHE WASSALLAM
0x611  ؑ     ARABIC SIGN ALAYHE ASSALLAM
0x612  ؒ     ARABIC SIGN RAHMATULLAH ALAYHE
0x613  ؓ     ARABIC SIGN RADI ALLAHOU ANHU
0x614  ؔ     ARABIC SIGN TAKHALLUS
0x615  ؕ     ARABIC SMALL HIGH TAH
0x616  ؖ     ARABIC SMALL HIGH LIGATURE ALEF WITH LAM WITH YEH
0x617  ؗ     ARABIC SMALL HIGH ZAIN
0x618  ؘ     ARABIC SMALL FATHA
0x619  ؙ     ARABIC SMALL DAMMA
0x61a  ؚ     ARABIC SMALL KASRA
0x61b  ؛     ARABIC SEMICOLON
0x61c  ؜؝     ARABIC LETTER MARK
0x61d  ؝     ARABIC END OF TEXT MARK
0x61e  ؞     ARABIC TRIPLE DOT PUNCTUATION MARK
0x61f  ؟     ARABIC QUESTION MARK
0x620  ؠ     ARABIC LETTER KASHMIRI YEH
0x621  ء     ARABIC LETTER HAMZA
0x622  آ     ARABIC LETTER ALEF WITH MADDA ABOVE
0x623  أ     ARABIC LETTER ALEF WITH HAMZA ABOVE
0x624  ؤ     ARABIC LETTER WAW WITH HAMZA ABOVE
0x625  إ     ARABIC LETTER ALEF WITH HAMZA BELOW
0x626  ئ     ARABIC LETTER YEH WITH HAMZA ABOVE
0x627  ا     ARABIC LETTER ALEF
0x628  ب     ARABIC LETTER BEH
0x629  ة     ARABIC LETTER TEH MARBUTA
0x62a  ت     ARABIC LETTER TEH
0x62b  ث     ARABIC LETTER THEH
0x62c  ج     ARABIC LETTER JEEM
0x62d  ح     ARABIC LETTER HAH
0x62e  خ     ARABIC LETTER KHAH
0x62f  د     ARABIC LETTER DAL
0x630  ذ     ARABIC LETTER THAL
0x631  ر     ARABIC LETTER REH
0x632  ز     ARABIC LETTER ZAIN
0x633  س     ARABIC LETTER SEEN
0x634  ش     ARABIC LETTER SHEEN
0x635  ص     ARABIC LETTER SAD
0x636  ض     ARABIC LETTER DAD
0x637  ط     ARABIC LETTER TAH
0x638  ظ     ARABIC LETTER ZAH
0x639  ع     ARABIC LETTER AIN
0x63a  غ     ARABIC LETTER GHAIN
0x63b  ػ     ARABIC LETTER KEHEH WITH TWO DOTS ABOVE
0x63c  ؼ     ARABIC LETTER KEHEH WITH THREE DOTS BELOW
0x63d  ؽ     ARABIC LETTER FARSI YEH WITH INVERTED V
0x63e  ؾ     ARABIC LETTER FARSI YEH WITH TWO DOTS ABOVE
0x63f  ؿ     ARABIC LETTER FARSI YEH WITH THREE DOTS ABOVE
0x640  ـ     ARABIC TATWEEL
0x641  ف     ARABIC LETTER FEH
0x642  ق     ARABIC LETTER QAF
0x643  ك     ARABIC LETTER KAF
0x644  ل     ARABIC LETTER LAM
0x645  م     ARABIC LETTER MEEM
0x646  ن     ARABIC LETTER NOON
0x647  ه     ARABIC LETTER HEH
0x648  و     ARABIC LETTER WAW
0x649  ى     ARABIC LETTER ALEF MAKSURA
0x64a  ي     ARABIC LETTER YEH
0x64b  ً     ARABIC FATHATAN
0x64c  ٌ     ARABIC DAMMATAN
0x64d  ٍ     ARABIC KASRATAN
0x64e  َ     ARABIC FATHA
0x64f  ُ     ARABIC DAMMA
0x650  ِ     ARABIC KASRA
0x651  ّ     ARABIC SHADDA
0x652  ْ     ARABIC SUKUN
0x653  ٓ     ARABIC MADDAH ABOVE
0x654  ٔ     ARABIC HAMZA ABOVE
0x655  ٕ     ARABIC HAMZA BELOW
0x656  ٖ     ARABIC SUBSCRIPT ALEF
0x657  ٗ     ARABIC INVERTED DAMMA
0x658  ٘     ARABIC MARK NOON GHUNNA
0x659  ٙ     ARABIC ZWARAKAY
0x65a  ٚ     ARABIC VOWEL SIGN SMALL V ABOVE
0x65b  ٛ     ARABIC VOWEL SIGN INVERTED SMALL V ABOVE
0x65c  ٜ     ARABIC VOWEL SIGN DOT BELOW
0x65d  ٝ     ARABIC REVERSED DAMMA
0x65e  ٞ     ARABIC FATHA WITH TWO DOTS
0x65f  ٟ     ARABIC WAVY HAMZA BELOW
0x660  ٠     ARABIC-INDIC DIGIT ZERO
0x661  ١     ARABIC-INDIC DIGIT ONE
