0x621  ء     ARABIC LETTER HAMZA
0x622  آ     ARABIC LETTER ALEF WITH MADDA ABOVE
0x623  أ     ARABIC LETTER ALEF WITH HAMZA ABOVE
0x624  ؤ     ARABIC LETTER WAW WITH HAMZA ABOVE
0x625  إ     ARABIC LETTER ALEF WITH HAMZA BELOW
0x626  ئ     ARABIC LETTER YEH WITH HAMZA ABOVE
0x627  ا     ARABIC LETTER ALEF
0x628  ب     ARABIC LETTER BEH
0x629  ة     ARABIC LETTER TEH MARBUTA
0x62a  ت     ARABIC LETTER TEH
0x62b  ث     ARABIC LETTER THEH
0x62c  ج     ARABIC LETTER JEEM
0x62d  ح     ARABIC LETTER HAH
0x62e  خ     ARABIC LETTER KHAH
0x62f  د     ARABIC LETTER DAL
0x630  ذ     ARABIC LETTER THAL
0x631  ر     ARABIC LETTER REH
0x632  ز     ARABIC LETTER ZAIN
0x633  س     ARABIC LETTER SEEN
0x634  ش     ARABIC LETTER SHEEN
0x635  ص     ARABIC LETTER SAD
0x636  ض     ARABIC LETTER DAD
0x637  ط     ARABIC LETTER TAH
0x638  ظ     ARABIC LETTER ZAH
0x639  ع     ARABIC LETTER AIN
0x63a  غ     ARABIC LETTER GHAIN
