0x679  ٹ     ARABIC LETTER TTEH
0x67a  ٺ     ARABIC LETTER TTEHEH
0x67b  ٻ     ARABIC LETTER BEEH
0x67c  ټ     ARABIC LETTER TEH WITH RING
0x67d  ٽ     ARABIC LETTER TEH WITH THREE DOTS ABOVE DOWNWARDS
0x67e  پ     ARABIC LETTER PEH
0x67f  ٿ     ARABIC LETTER TEHEH
0x680  ڀ     ARABIC LETTER BEHEH
0x681  ځ     ARABIC LETTER HAH WITH HAMZA ABOVE
0x682  ڂ     ARABIC LETTER HAH WITH TWO DOTS VERTICAL ABOVE
0x683  ڃ     ARABIC LETTER NYEH
0x684  ڄ     ARABIC LETTER DYEH
0x685  څ     ARABIC LETTER HAH WITH THREE DOTS ABOVE
0x686  چ     ARABIC LETTER TCHEH
0x687  ڇ     ARABIC LETTER TCHEHEH
0x688  ڈ     ARABIC LETTER DDAL
0x689  ډ     ARABIC LETTER DAL WITH RING
0x68a  ڊ     ARABIC LETTER DAL WITH DOT BELOW
0x68b  ڋ     ARABIC LETTER DAL WITH DOT BELOW AND SMALL TAH
0x68c  ڌ     ARABIC LETTER DAHAL
0x68d  ڍ     ARABIC LETTER DDAHAL
0x68e  ڎ     ARABIC LETTER DUL
0x68f  ڏ     ARABIC LETTER DAL WITH THREE DOTS ABOVE DOWNWARDS
0x690  ڐ     ARABIC LETTER DAL WITH FOUR DOTS ABOVE
0x691  ڑ     ARABIC LETTER RREH
0x692  ڒ     ARABIC LETTER REH WITH SMALL V
0x693  ړ     ARABIC LETTER REH WITH RING
0x694  ڔ     ARABIC LETTER REH WITH DOT BELOW
0x695  ڕ     ARABIC LETTER REH WITH SMALL V BELOW
0x696  ږ     ARABIC LETTER REH WITH DOT BELOW AND DOT ABOVE
0x697  ڗ     ARABIC LETTER REH WITH TWO DOTS ABOVE
0x698  ژ     ARABIC LETTER JEH
0x699  ڙ     ARABIC LETTER REH WITH FOUR DOTS ABOVE
0x69a  ښ     ARABIC LETTER SEEN WITH DOT BELOW AND DOT ABOVE
0x69b  ڛ     ARABIC LETTER SEEN WITH THREE DOTS BELOW
0x69c  ڜ     ARABIC LETTER SEEN WITH THREE DOTS BELOW AND THREE DOTS ABOVE
0x69d  ڝ     ARABIC LETTER SAD WITH TWO DOTS BELOW
0x69e  ڞ     ARABIC LETTER SAD WITH THREE DOTS ABOVE
0x69f  ڟ     ARABIC LETTER TAH WITH THREE DOTS ABOVE
