0x980  ঀ     BENGALI ANJI
0x981  ঁ     BENGALI SIGN CANDRABINDU
0x982  ং     BENGALI SIGN ANUSVARA
0x983  ঃ     BENGALI SIGN VISARGA
0x984  ঄     UNKNOWN
0x985  অ     BENGALI LETTER A
0x986  আ     BENGALI LETTER AA
0x987  ই     BENGALI LETTER I
0x988  ঈ     BENGALI LETTER II
0x989  উ     BENGALI LETTER U
0x98a  ঊ     BENGALI LETTER UU
0x98b  ঋ     BENGALI LETTER VOCALIC R
0x98c  ঌ     BENGALI LETTER VOCALIC L
0x98d  ঍     <RESERVED>
0x98e  ঎     <RESERVED>
0x98f  এ     BENGALI LETTER E
0x990  ঐ     BENGALI LETTER AI
0x991  ঑     <RESERVED>
0x992  ঒     <RESERVED>
0x993  ও     BENGALI LETTER O
0x994  ঔ     BENGALI LETTER AU
0x995  ক     BENGALI LETTER KA
0x996  খ     BENGALI LETTER KHA
0x997  গ     BENGALI LETTER GA
0x998  ঘ     BENGALI LETTER GHA
0x999  ঙ     BENGALI LETTER NGA
0x99a  চ     BENGALI LETTER CA
0x99b  ছ     BENGALI LETTER CHA
0x99c  জ     BENGALI LETTER JA
0x99d  ঝ     BENGALI LETTER JHA
0x99e  ঞ     BENGALI LETTER NYA
0x99f  ট     BENGALI LETTER TTA
0x9a0  ঠ     BENGALI LETTER TTHA
0x9a1  ড     BENGALI LETTER DDA
0x9a2  ঢ     BENGALI LETTER DDHA
0x9a3  ণ     BENGALI LETTER NNA
0x9a4  ত     BENGALI LETTER TA
0x9a5  থ     BENGALI LETTER THA
0x9a6  দ     BENGALI LETTER DA
0x9a7  ধ     BENGALI LETTER DHA
0x9a8  ন     BENGALI LETTER NA
0x9a9  ঩     <RESERVED>
0x9aa  প     BENGALI LETTER PA
0x9ab  ফ     BENGALI LETTER PHA
0x9ac  ব     BENGALI LETTER BA
0x9ad  ভ     BENGALI LETTER BHA
0x9ae  ম     BENGALI LETTER MA
0x9af  য     BENGALI LETTER YA
0x9b0  র     BENGALI LETTER RA
0x9b1  ঱     <RESERVED>
0x9b2  ল     BENGALI LETTER LA
0x9b3  ঳     <RESERVED>
0x9b4  ঴     <RESERVED>
0x9b5  ঵     <RESERVED>
0x9b6  শ     BENGALI LETTER SHA
0x9b7  ষ     BENGALI LETTER SSA
0x9b8  স     BENGALI LETTER SA
0x9b9  হ     BENGALI LETTER HA
0x9ba  ঺     UNKNOWN
0x9bb  ঻     UNKNOWN
0x9bc  ়     BENGALI SIGN NUKTA
0x9bd  ঽ     BENGALI SIGN AVAGRAHA
0x9be  া     BENGALI VOWEL SIGN AA
0x9bf  ি     BENGALI VOWEL SIGN I
0x9c0  ী     BENGALI VOWEL SIGN II
0x9c1  ু     BENGALI VOWEL SIGN U
0x9c2  ূ     BENGALI VOWEL SIGN UU
0x9c3  ৃ     BENGALI VOWEL SIGN VOCALIC R
0x9c4  ৄ     BENGALI VOWEL SIGN VOCALIC RR
0x9c5  ৅     <RESERVED>
0x9c6  ৆     <RESERVED>
0x9c7  ে     BENGALI VOWEL SIGN E
0x9c8  ৈ     BENGALI VOWEL SIGN AI
0x9c9  ৉     UNKNOWN
0x9ca  ৊     UNKNOWN
0x9cb  ো     BENGALI VOWEL SIGN O
0x9cc  ৌ     BENGALI VOWEL SIGN AU
0x9cd  ্     BENGALI SIGN VIRAMA
0x9ce  ৎ     BENGALI LETTER KHANDA TA
0x9cf  ৏     UNKNOWN
0x9d0  ৐     UNKNOWN
0x9d1  ৑     UNKNOWN
