0x995  ক     BENGALI LETTER KA
0x996  খ     BENGALI LETTER KHA
0x997  গ     BENGALI LETTER GA
0x998  ঘ     BENGALI LETTER GHA
0x999  ঙ     BENGALI LETTER NGA
0x99a  চ     BENGALI LETTER CA
0x99b  ছ     BENGALI LETTER CHA
0x99c  জ     BENGALI LETTER JA
0x99d  ঝ     BENGALI LETTER JHA
0x99e  ঞ     BENGALI LETTER NYA
0x99f  ট     BENGALI LETTER TTA
0x9a0  ঠ     BENGALI LETTER TTHA
0x9a1  ড     BENGALI LETTER DDA
0x9a2  ঢ     BENGALI LETTER DDHA
0x9a3  ণ     BENGALI LETTER NNA
0x9a4  ত     BENGALI LETTER TA
0x9a5  থ     BENGALI LETTER THA
0x9a6  দ     BENGALI LETTER DA
0x9a7  ধ     BENGALI LETTER DHA
0x9a8  ন     BENGALI LETTER NA
0x9a9  ঩     <RESERVED>
0x9aa  প     BENGALI LETTER PA
0x9ab  ফ     BENGALI LETTER PHA
0x9ac  ব     BENGALI LETTER BA
0x9ad  ভ     BENGALI LETTER BHA
0x9ae  ম     BENGALI LETTER MA
0x9af  য     BENGALI LETTER YA
0x9b0  র     BENGALI LETTER RA
0x9b1  ঱     <RESERVED>
0x9b2  ল     BENGALI LETTER LA
0x9b3  ঳     <RESERVED>
0x9b4  ঴     <RESERVED>
0x9b5  ঵     <RESERVED>
0x9b6  শ     BENGALI LETTER SHA
0x9b7  ষ     BENGALI LETTER SSA
0x9b8  স     BENGALI LETTER SA
0x9b9  হ     BENGALI LETTER HA
