0x11013  𑀓     BRAHMI LETTER KA
0x11014  𑀔     BRAHMI LETTER KHA
0x11015  𑀕     BRAHMI LETTER GA
0x11016  𑀖     BRAHMI LETTER GHA
0x11017  𑀗     BRAHMI LETTER NGA
0x11018  𑀘     BRAHMI LETTER CA
0x11019  𑀙     BRAHMI LETTER CHA
0x1101a  𑀚     BRAHMI LETTER JA
0x1101b  𑀛     BRAHMI LETTER JHA
0x1101c  𑀜     BRAHMI LETTER NYA
0x1101d  𑀝     BRAHMI LETTER TTA
0x1101e  𑀞     BRAHMI LETTER TTHA
0x1101f  𑀟     BRAHMI LETTER DDA
0x11020  𑀠     BRAHMI LETTER DDHA
0x11021  𑀡     BRAHMI LETTER NNA
0x11022  𑀢     BRAHMI LETTER TA
0x11023  𑀣     BRAHMI LETTER THA
0x11024  𑀤     BRAHMI LETTER DA
0x11025  𑀥     BRAHMI LETTER DHA
0x11026  𑀦     BRAHMI LETTER NA
0x11027  𑀧     BRAHMI LETTER PA
0x11028  𑀨     BRAHMI LETTER PHA
0x11029  𑀩     BRAHMI LETTER BA
0x1102a  𑀪     BRAHMI LETTER BHA
0x1102b  𑀫     BRAHMI LETTER MA
0x1102c  𑀬     BRAHMI LETTER YA
0x1102d  𑀭     BRAHMI LETTER RA
0x1102e  𑀮     BRAHMI LETTER LA
0x1102f  𑀯     BRAHMI LETTER VA
0x11030  𑀰     BRAHMI LETTER SHA
0x11031  𑀱     BRAHMI LETTER SSA
0x11032  𑀲     BRAHMI LETTER SA
0x11033  𑀳     BRAHMI LETTER HA
0x11034  𑀴     BRAHMI LETTER LLA
0x11035  𑀵     BRAHMI LETTER OLD TAMIL LLLA
0x11036  𑀶     BRAHMI LETTER OLD TAMIL RRA
0x11037  𑀷     BRAHMI LETTER OLD TAMIL NNNA
