0x11038  𑀸     BRAHMI VOWEL SIGN AA
0x11039  𑀹     BRAHMI VOWEL SIGN BHATTIPROLU AA
0x1103a  𑀺     BRAHMI VOWEL SIGN I
0x1103b  𑀻     BRAHMI VOWEL SIGN II
0x1103c  𑀼     BRAHMI VOWEL SIGN U
0x1103d  𑀽     BRAHMI VOWEL SIGN UU
0x1103e  𑀾     BRAHMI VOWEL SIGN VOCALIC R
0x1103f  𑀿     BRAHMI VOWEL SIGN VOCALIC RR
0x11040  𑁀     BRAHMI VOWEL SIGN VOCALIC L
0x11041  𑁁     BRAHMI VOWEL SIGN VOCALIC LL
0x11042  𑁂     BRAHMI VOWEL SIGN E
0x11043  𑁃     BRAHMI VOWEL SIGN AI
0x11044  𑁄     BRAHMI VOWEL SIGN O
0x11045  𑁅     BRAHMI VOWEL SIGN AU
