0x915  क     DEVANAGARI LETTER KA
0x916  ख     DEVANAGARI LETTER KHA
0x917  ग     DEVANAGARI LETTER GA
0x918  घ     DEVANAGARI LETTER GHA
0x919  ङ     DEVANAGARI LETTER NGA
0x91a  च     DEVANAGARI LETTER CA
0x91b  छ     DEVANAGARI LETTER CHA
0x91c  ज     DEVANAGARI LETTER JA
0x91d  झ     DEVANAGARI LETTER JHA
0x91e  ञ     DEVANAGARI LETTER NYA
0x91f  ट     DEVANAGARI LETTER TTA
0x920  ठ     DEVANAGARI LETTER TTHA
0x921  ड     DEVANAGARI LETTER DDA
0x922  ढ     DEVANAGARI LETTER DDHA
0x923  ण     DEVANAGARI LETTER NNA
0x924  त     DEVANAGARI LETTER TA
0x925  थ     DEVANAGARI LETTER THA
0x926  द     DEVANAGARI LETTER DA
0x927  ध     DEVANAGARI LETTER DHA
0x928  न     DEVANAGARI LETTER NA
0x929  ऩ     DEVANAGARI LETTER NNNA
0x92a  प     DEVANAGARI LETTER PA
0x92b  फ     DEVANAGARI LETTER PHA
0x92c  ब     DEVANAGARI LETTER BA
0x92d  भ     DEVANAGARI LETTER BHA
0x92e  म     DEVANAGARI LETTER MA
0x92f  य     DEVANAGARI LETTER YA
0x930  र     DEVANAGARI LETTER RA
0x931  ऱ     DEVANAGARI LETTER RRA
0x932  ल     DEVANAGARI LETTER LA
0x933  ळ     DEVANAGARI LETTER LLA
0x934  ऴ     DEVANAGARI LETTER LLLA
0x935  व     DEVANAGARI LETTER VA
0x936  श     DEVANAGARI LETTER SHA
0x937  ष     DEVANAGARI LETTER SSA
0x938  स     DEVANAGARI LETTER SA
0x939  ह     DEVANAGARI LETTER HA
