0x93e  ा     DEVANAGARI VOWEL SIGN AA
0x93f  ि     DEVANAGARI VOWEL SIGN I
0x940  ी     DEVANAGARI VOWEL SIGN II
0x941  ु     DEVANAGARI VOWEL SIGN U
0x942  ू     DEVANAGARI VOWEL SIGN UU
0x943  ृ     DEVANAGARI VOWEL SIGN VOCALIC R
0x944  ॄ     DEVANAGARI VOWEL SIGN VOCALIC RR
0x945  ॅ     DEVANAGARI VOWEL SIGN CANDRA E
0x946  ॆ     DEVANAGARI VOWEL SIGN SHORT E
0x947  े     DEVANAGARI VOWEL SIGN E
0x948  ै     DEVANAGARI VOWEL SIGN AI
0x949  ॉ     DEVANAGARI VOWEL SIGN CANDRA O
0x94a  ॊ     DEVANAGARI VOWEL SIGN SHORT O
0x94b  ो     DEVANAGARI VOWEL SIGN O
0x94c  ौ     DEVANAGARI VOWEL SIGN AU
