0x900  ऀ     DEVANAGARI SIGN INVERTED CANDRABINDU
0x901  ँ     DEVANAGARI SIGN CANDRABINDU
0x902  ं     DEVANAGARI SIGN ANUSVARA
0x903  ः     DEVANAGARI SIGN VISARGA
0x904  ऄ     DEVANAGARI LETTER SHORT A
0x905  अ     DEVANAGARI LETTER A
0x906  आ     DEVANAGARI LETTER AA
0x907  इ     DEVANAGARI LETTER I
0x908  ई     DEVANAGARI LETTER II
0x909  उ     DEVANAGARI LETTER U
0x90a  ऊ     DEVANAGARI LETTER UU
0x90b  ऋ     DEVANAGARI LETTER VOCALIC R
0x90c  ऌ     DEVANAGARI LETTER VOCALIC L
0x90d  ऍ     DEVANAGARI LETTER CANDRA E
0x90e  ऎ     DEVANAGARI LETTER SHORT E
0x90f  ए     DEVANAGARI LETTER E
0x910  ऐ     DEVANAGARI LETTER AI
0x911  ऑ     DEVANAGARI LETTER CANDRA O
0x912  ऒ     DEVANAGARI LETTER SHORT O
0x913  ओ     DEVANAGARI LETTER O
0x914  औ     DEVANAGARI LETTER AU
0x915  क     DEVANAGARI LETTER KA
0x916  ख     DEVANAGARI LETTER KHA
0x917  ग     DEVANAGARI LETTER GA
0x918  घ     DEVANAGARI LETTER GHA
0x919  ङ     DEVANAGARI LETTER NGA
0x91a  च     DEVANAGARI LETTER CA
0x91b  छ     DEVANAGARI LETTER CHA
0x91c  ज     DEVANAGARI LETTER JA
0x91d  झ     DEVANAGARI LETTER JHA
0x91e  ञ     DEVANAGARI LETTER NYA
0x91f  ट     DEVANAGARI LETTER TTA
0x920  ठ     DEVANAGARI LETTER TTHA
0x921  ड     DEVANAGARI LETTER DDA
0x922  ढ     DEVANAGARI LETTER DDHA
0x923  ण     DEVANAGARI LETTER NNA
0x924  त     DEVANAGARI LETTER TA
0x925  थ     DEVANAGARI LETTER THA
0x926  द     DEVANAGARI LETTER DA
0x927  ध     DEVANAGARI LETTER DHA
0x928  न     DEVANAGARI LETTER NA
0x929  ऩ     DEVANAGARI LETTER NNNA
0x92a  प     DEVANAGARI LETTER PA
0x92b  फ     DEVANAGARI LETTER PHA
0x92c  ब     DEVANAGARI LETTER BA
0x92d  भ     DEVANAGARI LETTER BHA
0x92e  म     DEVANAGARI LETTER MA
0x92f  य     DEVANAGARI LETTER YA
0x930  र     DEVANAGARI LETTER RA
0x931  ऱ     DEVANAGARI LETTER RRA
0x932  ल     DEVANAGARI LETTER LA
0x933  ळ     DEVANAGARI LETTER LLA
0x934  ऴ     DEVANAGARI LETTER LLLA
0x935  व     DEVANAGARI LETTER VA
0x936  श     DEVANAGARI LETTER SHA
0x937  ष     DEVANAGARI LETTER SSA
0x938  स     DEVANAGARI LETTER SA
0x939  ह     DEVANAGARI LETTER HA
0x93a  ऺ     DEVANAGARI VOWEL SIGN OE
0x93b  ऻ     DEVANAGARI VOWEL SIGN OOE
0x93c  ़     DEVANAGARI SIGN NUKTA
0x93d  ऽ     DEVANAGARI SIGN AVAGRAHA
0x93e  ा     DEVANAGARI VOWEL SIGN AA
0x93f  ि     DEVANAGARI VOWEL SIGN I
0x940  ी     DEVANAGARI VOWEL SIGN II
0x941  ु     DEVANAGARI VOWEL SIGN U
0x942  ू     DEVANAGARI VOWEL SIGN UU
0x943  ृ     DEVANAGARI VOWEL SIGN VOCALIC R
0x944  ॄ     DEVANAGARI VOWEL SIGN VOCALIC RR
0x945  ॅ     DEVANAGARI VOWEL SIGN CANDRA E
0x946  ॆ     DEVANAGARI VOWEL SIGN SHORT E
0x947  े     DEVANAGARI VOWEL SIGN E
0x948  ै     DEVANAGARI VOWEL SIGN AI
0x949  ॉ     DEVANAGARI VOWEL SIGN CANDRA O
0x94a  ॊ     DEVANAGARI VOWEL SIGN SHORT O
0x94b  ो     DEVANAGARI VOWEL SIGN O
0x94c  ौ     DEVANAGARI VOWEL SIGN AU
0x94d  ्     DEVANAGARI SIGN VIRAMA
0x94e  ॎ     DEVANAGARI VOWEL SIGN PRISHTHAMATRA E
0x94f  ॏ     DEVANAGARI VOWEL SIGN AW
0x950  ॐ     DEVANAGARI OM
0x951  ॑     DEVANAGARI STRESS SIGN UDATTA
0x952  ॒     DEVANAGARI STRESS SIGN ANUDATTA
0x953  ॓     DEVANAGARI GRAVE ACCENT
0x954  ॔     DEVANAGARI ACUTE ACCENT
0x955  ॕ     DEVANAGARI VOWEL SIGN CANDRA LONG E
0x956  ॖ     DEVANAGARI VOWEL SIGN UE
0x957  ॗ     DEVANAGARI VOWEL SIGN UUE
0x958  क़     DEVANAGARI LETTER QA
0x959  ख़     DEVANAGARI LETTER KHHA
0x95a  ग़     DEVANAGARI LETTER GHHA
0x95b  ज़     DEVANAGARI LETTER ZA
0x95c  ड़     DEVANAGARI LETTER DDDHA
0x95d  ढ़     DEVANAGARI LETTER RHA
0x95e  फ़     DEVANAGARI LETTER FA
0x95f  य़     DEVANAGARI LETTER YYA
