0x904  ऄ     DEVANAGARI LETTER SHORT A
0x905  अ     DEVANAGARI LETTER A
0x906  आ     DEVANAGARI LETTER AA
0x907  इ     DEVANAGARI LETTER I
0x908  ई     DEVANAGARI LETTER II
0x909  उ     DEVANAGARI LETTER U
0x90a  ऊ     DEVANAGARI LETTER UU
0x90b  ऋ     DEVANAGARI LETTER VOCALIC R
0x90c  ऌ     DEVANAGARI LETTER VOCALIC L
0x90d  ऍ     DEVANAGARI LETTER CANDRA E
0x90e  ऎ     DEVANAGARI LETTER SHORT E
0x90f  ए     DEVANAGARI LETTER E
0x910  ऐ     DEVANAGARI LETTER AI
0x911  ऑ     DEVANAGARI LETTER CANDRA O
0x912  ऒ     DEVANAGARI LETTER SHORT O
0x913  ओ     DEVANAGARI LETTER O
0x914  औ     DEVANAGARI LETTER AU
