0xa95  ક     GUJARATI LETTER KA
0xa96  ખ     GUJARATI LETTER KHA
0xa97  ગ     GUJARATI LETTER GA
0xa98  ઘ     GUJARATI LETTER GHA
0xa99  ઙ     GUJARATI LETTER NGA
0xa9a  ચ     GUJARATI LETTER CA
0xa9b  છ     GUJARATI LETTER CHA
0xa9c  જ     GUJARATI LETTER JA
0xa9d  ઝ     GUJARATI LETTER JHA
0xa9e  ઞ     GUJARATI LETTER NYA
0xa9f  ટ     GUJARATI LETTER TTA
0xaa0  ઠ     GUJARATI LETTER TTHA
0xaa1  ડ     GUJARATI LETTER DDA
0xaa2  ઢ     GUJARATI LETTER DDHA
0xaa3  ણ     GUJARATI LETTER NNA
0xaa4  ત     GUJARATI LETTER TA
0xaa5  થ     GUJARATI LETTER THA
0xaa6  દ     GUJARATI LETTER DA
0xaa7  ધ     GUJARATI LETTER DHA
0xaa8  ન     GUJARATI LETTER NA
0xaa9  ઩     <RESERVED>
0xaaa  પ     GUJARATI LETTER PA
0xaab  ફ     GUJARATI LETTER PHA
0xaac  બ     GUJARATI LETTER BA
0xaad  ભ     GUJARATI LETTER BHA
0xaae  મ     GUJARATI LETTER MA
0xaaf  ય     GUJARATI LETTER YA
0xab0  ર     GUJARATI LETTER RA
0xab1  ઱     <RESERVED>
0xab2  લ     GUJARATI LETTER LA
0xab3  ળ     GUJARATI LETTER LLA
0xab4  ઴     <RESERVED>
0xab5  વ     GUJARATI LETTER VA
0xab6  શ     GUJARATI LETTER SHA
0xab7  ષ     GUJARATI LETTER SSA
0xab8  સ     GUJARATI LETTER SA
0xab9  હ     GUJARATI LETTER HA
