0xabe  ા     GUJARATI VOWEL SIGN AA
0xabf  િ     GUJARATI VOWEL SIGN I
0xac0  ી     GUJARATI VOWEL SIGN II
0xac1  ુ     GUJARATI VOWEL SIGN U
0xac2  ૂ     GUJARATI VOWEL SIGN UU
0xac3  ૃ     GUJARATI VOWEL SIGN VOCALIC R
0xac4  ૄ     GUJARATI VOWEL SIGN VOCALIC RR
0xac5  ૅ     GUJARATI VOWEL SIGN CANDRA E
0xac6  ૆     <RESERVED>
0xac7  ે     GUJARATI VOWEL SIGN E
0xac8  ૈ     GUJARATI VOWEL SIGN AI
0xac9  ૉ     GUJARATI VOWEL SIGN CANDRA O
0xaca  ૊     <RESERVED>
0xacb  ો     GUJARATI VOWEL SIGN O
0xacc  ૌ     GUJARATI VOWEL SIGN AU
