0xa84  ઄     UNKNOWN
0xa85  અ     GUJARATI LETTER A
0xa86  આ     GUJARATI LETTER AA
0xa87  ઇ     GUJARATI LETTER I
0xa88  ઈ     GUJARATI LETTER II
0xa89  ઉ     GUJARATI LETTER U
0xa8a  ઊ     GUJARATI LETTER UU
0xa8b  ઋ     GUJARATI LETTER VOCALIC R
0xa8c  ઌ     GUJARATI LETTER VOCALIC L
0xa8d  ઍ     GUJARATI VOWEL CANDRA E
0xa8e  ઎     <RESERVED>
0xa8f  એ     GUJARATI LETTER E
0xa90  ઐ     GUJARATI LETTER AI
0xa91  ઑ     GUJARATI VOWEL CANDRA O
0xa92  ઒     <RESERVED>
0xa93  ઓ     GUJARATI LETTER O
0xa94  ઔ     GUJARATI LETTER AU
