0xa15  ਕ     GURMUKHI LETTER KA
0xa16  ਖ     GURMUKHI LETTER KHA
0xa17  ਗ     GURMUKHI LETTER GA
0xa18  ਘ     GURMUKHI LETTER GHA
0xa19  ਙ     GURMUKHI LETTER NGA
0xa1a  ਚ     GURMUKHI LETTER CA
0xa1b  ਛ     GURMUKHI LETTER CHA
0xa1c  ਜ     GURMUKHI LETTER JA
0xa1d  ਝ     GURMUKHI LETTER JHA
0xa1e  ਞ     GURMUKHI LETTER NYA
0xa1f  ਟ     GURMUKHI LETTER TTA
0xa20  ਠ     GURMUKHI LETTER TTHA
0xa21  ਡ     GURMUKHI LETTER DDA
0xa22  ਢ     GURMUKHI LETTER DDHA
0xa23  ਣ     GURMUKHI LETTER NNA
0xa24  ਤ     GURMUKHI LETTER TA
0xa25  ਥ     GURMUKHI LETTER THA
0xa26  ਦ     GURMUKHI LETTER DA
0xa27  ਧ     GURMUKHI LETTER DHA
0xa28  ਨ     GURMUKHI LETTER NA
0xa29  ਩     <RESERVED>
0xa2a  ਪ     GURMUKHI LETTER PA
0xa2b  ਫ     GURMUKHI LETTER PHA
0xa2c  ਬ     GURMUKHI LETTER BA
0xa2d  ਭ     GURMUKHI LETTER BHA
0xa2e  ਮ     GURMUKHI LETTER MA
0xa2f  ਯ     GURMUKHI LETTER YA
0xa30  ਰ     GURMUKHI LETTER RA
0xa31  ਱     <RESERVED>
0xa32  ਲ     GURMUKHI LETTER LA
0xa33  ਲ਼     GURMUKHI LETTER LLA
0xa34  ਴     <RESERVED>
0xa35  ਵ     GURMUKHI LETTER VA
0xa36  ਸ਼     GURMUKHI LETTER SHA
0xa37  ਷     <RESERVED>
0xa38  ਸ     GURMUKHI LETTER SA
0xa39  ਹ     GURMUKHI LETTER HA
