0xfb00  ﬀ     LATIN SMALL LIGATURE FF
0xfb01  ﬁ     LATIN SMALL LIGATURE FI
0xfb02  ﬂ     LATIN SMALL LIGATURE FL
0xfb03  ﬃ     LATIN SMALL LIGATURE FFI
0xfb04  ﬄ     LATIN SMALL LIGATURE FFL
0xfb05  ﬅ     LATIN SMALL LIGATURE LONG S T
0xfb06  ﬆ     LATIN SMALL LIGATURE ST
0xfb07  ﬇     UNKNOWN
0xfb08  ﬈     UNKNOWN
0xfb09  ﬉     UNKNOWN
0xfb0a  ﬊     UNKNOWN
0xfb0b  ﬋     UNKNOWN
0xfb0c  ﬌     UNKNOWN
0xfb0d  ﬍     UNKNOWN
0xfb0e  ﬎     UNKNOWN
0xfb0f  ﬏     UNKNOWN
0xfb10  ﬐     UNKNOWN
0xfb11  ﬑     UNKNOWN
0xfb12  ﬒     UNKNOWN
0xfb13  ﬓ     ARMENIAN SMALL LIGATURE MEN NOW
0xfb14  ﬔ     ARMENIAN SMALL LIGATURE MEN ECH
0xfb15  ﬕ     ARMENIAN SMALL LIGATURE MEN INI
0xfb16  ﬖ     ARMENIAN SMALL LIGATURE VEW NOW
0xfb17  ﬗ     ARMENIAN SMALL LIGATURE MEN XEH
0xfb18  ﬘     UNKNOWN
0xfb19  ﬙     UNKNOWN
0xfb1a  ﬚     UNKNOWN
0xfb1b  ﬛     UNKNOWN
0xfb1c  ﬜     UNKNOWN
0xfb1d  יִ     HEBREW LETTER YOD WITH HIRIQ
0xfb1e  ﬞ     HEBREW POINT JUDEO-SPANISH VARIKA
0xfb1f  ײַ     HEBREW LIGATURE YIDDISH YOD YOD PATAH
0xfb20  ﬠ     HEBREW LETTER ALTERNATIVE AYIN
0xfb21  ﬡ     HEBREW LETTER WIDE ALEF
0xfb22  ﬢ     HEBREW LETTER WIDE DALET
0xfb23  ﬣ     HEBREW LETTER WIDE HE
0xfb24  ﬤ     HEBREW LETTER WIDE KAF
0xfb25  ﬥ     HEBREW LETTER WIDE LAMED
0xfb26  ﬦ     HEBREW LETTER WIDE FINAL MEM
0xfb27  ﬧ     HEBREW LETTER WIDE RESH
0xfb28  ﬨ     HEBREW LETTER WIDE TAV
0xfb29  ﬩     HEBREW LETTER ALTERNATIVE PLUS SIGN
0xfb2a  שׁ     HEBREW LETTER SHIN WITH SHIN DOT
0xfb2b  שׂ     HEBREW LETTER SHIN WITH SIN DOT
0xfb2c  שּׁ     HEBREW LETTER SHIN WITH DAGESH AND SHIN DOT
0xfb2d  שּׂ     HEBREW LETTER SHIN WITH DAGESH AND SIN DOT
0xfb2e  אַ     HEBREW LETTER ALEF WITH PATAH
0xfb2f  אָ     HEBREW LETTER ALEF WITH QAMATS
0xfb30  אּ     HEBREW LETTER ALEF WITH MAPIQ
0xfb31  בּ     HEBREW LETTER BET WITH DAGESH
0xfb32  גּ     HEBREW LETTER GIMEL WITH DAGESH
0xfb33  דּ     HEBREW LETTER DALET WITH DAGESH
0xfb34  הּ     HEBREW LETTER HE WITH MAPIQ
0xfb35  וּ     HEBREW LETTER VAV WITH DAGESH
0xfb36  זּ     HEBREW LETTER ZAYIN WITH DAGESH
0xfb37  ﬷     <RESERVED>
0xfb38  טּ     HEBREW LETTER TET WITH DAGESH
0xfb39  יּ     HEBREW LETTER YOD WITH DAGESH
0xfb3a  ךּ     HEBREW LETTER FINAL KAF WITH DAGESH
0xfb3b  כּ     HEBREW LETTER KAF WITH DAGESH
0xfb3c  לּ     HEBREW LETTER LAMED WITH DAGESH
0xfb3d  ﬽     <RESERVED>
0xfb3e  מּ     HEBREW LETTER MEM WITH DAGESH
0xfb3f  ﬿     <RESERVED>
0xfb40  נּ     HEBREW LETTER NUN WITH DAGESH
0xfb41  סּ     HEBREW LETTER SAMEKH WITH DAGESH
0xfb42  ﭂     <RESERVED>
0xfb43  ףּ     HEBREW LETTER FINAL PE WITH DAGESH
0xfb44  פּ     HEBREW LETTER PE WITH DAGESH
0xfb45  ﭅     <RESERVED>
0xfb46  צּ     HEBREW LETTER TSADI WITH DAGESH
0xfb47  קּ     HEBREW LETTER QOF WITH DAGESH
0xfb48  רּ     HEBREW LETTER RESH WITH DAGESH
0xfb49  שּ     HEBREW LETTER SHIN WITH DAGESH
0xfb4a  תּ     HEBREW LETTER TAV WITH DAGESH
0xfb4b  וֹ     HEBREW LETTER VAV WITH HOLAM
0xfb4c  בֿ     HEBREW LETTER BET WITH RAFE
0xfb4d  כֿ     HEBREW LETTER KAF WITH RAFE
0xfb4e  פֿ     HEBREW LETTER PE WITH RAFE
0xfb4f  ﭏ     HEBREW LIGATURE ALEF LAMED
