0x590  ֐     UNKNOWN
0x591  ֑     HEBREW ACCENT ETNAHTA
0x592  ֒     HEBREW ACCENT SEGOL
0x593  ֓     HEBREW ACCENT SHALSHELET
0x594  ֔     HEBREW ACCENT ZAQEF QATAN
0x595  ֕     HEBREW ACCENT ZAQEF GADOL
0x596  ֖     HEBREW ACCENT TIPEHA
0x597  ֗     HEBREW ACCENT REVIA
0x598  ֘     HEBREW ACCENT ZARQA
0x599  ֙     HEBREW ACCENT PASHTA
0x59a  ֚     HEBREW ACCENT YETIV
0x59b  ֛     HEBREW ACCENT TEVIR
0x59c  ֜     HEBREW ACCENT GERESH
0x59d  ֝     HEBREW ACCENT GERESH MUQDAM
0x59e  ֞     HEBREW ACCENT GERSHAYIM
0x59f  ֟     HEBREW ACCENT QARNEY PARA
0x5a0  ֠     HEBREW ACCENT TELISHA GEDOLA
0x5a1  ֡     HEBREW ACCENT PAZER
0x5a2  ֢     HEBREW ACCENT ATNAH HAFUKH
0x5a3  ֣     HEBREW ACCENT MUNAH
0x5a4  ֤     HEBREW ACCENT MAHAPAKH
0x5a5  ֥     HEBREW ACCENT MERKHA
0x5a6  ֦     HEBREW ACCENT MERKHA KEFULA
0x5a7  ֧     HEBREW ACCENT DARGA
0x5a8  ֨     HEBREW ACCENT QADMA
0x5a9  ֩     HEBREW ACCENT TELISHA QETANA
0x5aa  ֪     HEBREW ACCENT YERAH BEN YOMO
0x5ab  ֫     HEBREW ACCENT OLE
0x5ac  ֬     HEBREW ACCENT ILUY
0x5ad  ֭     HEBREW ACCENT DEHI
0x5ae  ֮     HEBREW ACCENT ZINOR
0x5af  ֯     HEBREW MARK MASORA CIRCLE
