0x5b0  ְ     HEBREW POINT SHEVA
0x5b1  ֱ     HEBREW POINT HATAF SEGOL
0x5b2  ֲ     HEBREW POINT HATAF PATAH
0x5b3  ֳ     HEBREW POINT HATAF QAMATS
0x5b4  ִ     HEBREW POINT HIRIQ
0x5b5  ֵ     HEBREW POINT TSERE
0x5b6  ֶ     HEBREW POINT SEGOL
0x5b7  ַ     HEBREW POINT PATAH
0x5b8  ָ     HEBREW POINT QAMATS
0x5b9  ֹ     HEBREW POINT HOLAM
0x5ba  ֺ     HEBREW POINT HOLAM HASER FOR VAV
0x5bb  ֻ     HEBREW POINT QUBUTS
0x5bc  ּ     HEBREW POINT DAGESH OR MAPIQ
0x5bd  ֽ     HEBREW POINT METEG
0x5be  ־     HEBREW PUNCTUATION MAQAF
0x5bf  ֿ     HEBREW POINT RAFE
0x5c0  ׀     HEBREW PUNCTUATION PASEQ
0x5c1  ׁ     HEBREW POINT SHIN DOT
0x5c2  ׂ     HEBREW POINT SIN DOT
0x5c3  ׃     HEBREW PUNCTUATION SOF PASUQ
