0xc95  ಕ     KANNADA LETTER KA
0xc96  ಖ     KANNADA LETTER KHA
0xc97  ಗ     KANNADA LETTER GA
0xc98  ಘ     KANNADA LETTER GHA
0xc99  ಙ     KANNADA LETTER NGA
0xc9a  ಚ     KANNADA LETTER CA
0xc9b  ಛ     KANNADA LETTER CHA
0xc9c  ಜ     KANNADA LETTER JA
0xc9d  ಝ     KANNADA LETTER JHA
0xc9e  ಞ     KANNADA LETTER NYA
0xc9f  ಟ     KANNADA LETTER TTA
0xca0  ಠ     KANNADA LETTER TTHA
0xca1  ಡ     KANNADA LETTER DDA
0xca2  ಢ     KANNADA LETTER DDHA
0xca3  ಣ     KANNADA LETTER NNA
0xca4  ತ     KANNADA LETTER TA
0xca5  ಥ     KANNADA LETTER THA
0xca6  ದ     KANNADA LETTER DA
0xca7  ಧ     KANNADA LETTER DHA
0xca8  ನ     KANNADA LETTER NA
0xca9  ಩     <RESERVED>
0xcaa  ಪ     KANNADA LETTER PA
0xcab  ಫ     KANNADA LETTER PHA
0xcac  ಬ     KANNADA LETTER BA
0xcad  ಭ     KANNADA LETTER BHA
0xcae  ಮ     KANNADA LETTER MA
0xcaf  ಯ     KANNADA LETTER YA
0xcb0  ರ     KANNADA LETTER RA
0xcb1  ಱ     KANNADA LETTER RRA
0xcb2  ಲ     KANNADA LETTER LA
0xcb3  ಳ     KANNADA LETTER LLA
0xcb4  ಴     <RESERVED>
0xcb5  ವ     KANNADA LETTER VA
0xcb6  ಶ     KANNADA LETTER SHA
0xcb7  ಷ     KANNADA LETTER SSA
0xcb8  ಸ     KANNADA LETTER SA
0xcb9  ಹ     KANNADA LETTER HA
