0xcbe  ಾ     KANNADA VOWEL SIGN AA
0xcbf  ಿ     KANNADA VOWEL SIGN I
0xcc0  ೀ     KANNADA VOWEL SIGN II
0xcc1  ು     KANNADA VOWEL SIGN U
0xcc2  ೂ     KANNADA VOWEL SIGN UU
0xcc3  ೃ     KANNADA VOWEL SIGN VOCALIC R
0xcc4  ೄ     KANNADA VOWEL SIGN VOCALIC RR
0xcc5  ೅     <RESERVED>
0xcc6  ೆ     KANNADA VOWEL SIGN E
0xcc7  ೇ     KANNADA VOWEL SIGN EE
0xcc8  ೈ     KANNADA VOWEL SIGN AI
0xcc9  ೉     <RESERVED>
0xcca  ೊ     KANNADA VOWEL SIGN O
0xccb  ೋ     KANNADA VOWEL SIGN OO
0xccc  ೌ     KANNADA VOWEL SIGN AU
