0xc80  ಀ     KANNADA SIGN SPACING CANDRABINDU
0xc81  ಁ     KANNADA SIGN CANDRABINDU
0xc82  ಂ     KANNADA SIGN ANUSVARA
0xc83  ಃ     KANNADA SIGN VISARGA
0xc84  ಄     KANNADA SIGN SIDDHAM
0xc85  ಅ     KANNADA LETTER A
0xc86  ಆ     KANNADA LETTER AA
0xc87  ಇ     KANNADA LETTER I
0xc88  ಈ     KANNADA LETTER II
0xc89  ಉ     KANNADA LETTER U
0xc8a  ಊ     KANNADA LETTER UU
0xc8b  ಋ     KANNADA LETTER VOCALIC R
0xc8c  ಌ     KANNADA LETTER VOCALIC L
0xc8d  ಍     <RESERVED>
0xc8e  ಎ     KANNADA LETTER E
0xc8f  ಏ     KANNADA LETTER EE
0xc90  ಐ     KANNADA LETTER AI
0xc91  ಑     <RESERVED>
0xc92  ಒ     KANNADA LETTER O
0xc93  ಓ     KANNADA LETTER OO
0xc94  ಔ     KANNADA LETTER AU
0xc95  ಕ     KANNADA LETTER KA
0xc96  ಖ     KANNADA LETTER KHA
0xc97  ಗ     KANNADA LETTER GA
0xc98  ಘ     KANNADA LETTER GHA
0xc99  ಙ     KANNADA LETTER NGA
0xc9a  ಚ     KANNADA LETTER CA
0xc9b  ಛ     KANNADA LETTER CHA
0xc9c  ಜ     KANNADA LETTER JA
0xc9d  ಝ     KANNADA LETTER JHA
0xc9e  ಞ     KANNADA LETTER NYA
0xc9f  ಟ     KANNADA LETTER TTA
0xca0  ಠ     KANNADA LETTER TTHA
0xca1  ಡ     KANNADA LETTER DDA
0xca2  ಢ     KANNADA LETTER DDHA
0xca3  ಣ     KANNADA LETTER NNA
0xca4  ತ     KANNADA LETTER TA
0xca5  ಥ     KANNADA LETTER THA
0xca6  ದ     KANNADA LETTER DA
0xca7  ಧ     KANNADA LETTER DHA
0xca8  ನ     KANNADA LETTER NA
0xca9  ಩     <RESERVED>
0xcaa  ಪ     KANNADA LETTER PA
0xcab  ಫ     KANNADA LETTER PHA
0xcac  ಬ     KANNADA LETTER BA
0xcad  ಭ     KANNADA LETTER BHA
0xcae  ಮ     KANNADA LETTER MA
0xcaf  ಯ     KANNADA LETTER YA
0xcb0  ರ     KANNADA LETTER RA
0xcb1  ಱ     KANNADA LETTER RRA
0xcb2  ಲ     KANNADA LETTER LA
0xcb3  ಳ     KANNADA LETTER LLA
0xcb4  ಴     <RESERVED>
0xcb5  ವ     KANNADA LETTER VA
0xcb6  ಶ     KANNADA LETTER SHA
0xcb7  ಷ     KANNADA LETTER SSA
0xcb8  ಸ     KANNADA LETTER SA
0xcb9  ಹ     KANNADA LETTER HA
0xcba  ಺     UNKNOWN
0xcbb  ಻     UNKNOWN
0xcbc  ಼     KANNADA SIGN NUKTA
0xcbd  ಽ     KANNADA SIGN AVAGRAHA
0xcbe  ಾ     KANNADA VOWEL SIGN AA
0xcbf  ಿ     KANNADA VOWEL SIGN I
0xcc0  ೀ     KANNADA VOWEL SIGN II
0xcc1  ು     KANNADA VOWEL SIGN U
0xcc2  ೂ     KANNADA VOWEL SIGN UU
0xcc3  ೃ     KANNADA VOWEL SIGN VOCALIC R
0xcc4  ೄ     KANNADA VOWEL SIGN VOCALIC RR
0xcc5  ೅     <RESERVED>
0xcc6  ೆ     KANNADA VOWEL SIGN E
0xcc7  ೇ     KANNADA VOWEL SIGN EE
0xcc8  ೈ     KANNADA VOWEL SIGN AI
0xcc9  ೉     <RESERVED>
0xcca  ೊ     KANNADA VOWEL SIGN O
0xccb  ೋ     KANNADA VOWEL SIGN OO
0xccc  ೌ     KANNADA VOWEL SIGN AU
0xccd  ್     KANNADA SIGN VIRAMA
0xcce  ೎     UNKNOWN
