0xff00  ＀     UNKNOWN
0xff01  ！     FULLWIDTH EXCLAMATION MARK
0xff02  ＂     FULLWIDTH QUOTATION MARK
0xff03  ＃     FULLWIDTH NUMBER SIGN
0xff04  ＄     FULLWIDTH DOLLAR SIGN
0xff05  ％     FULLWIDTH PERCENT SIGN
0xff06  ＆     FULLWIDTH AMPERSAND
0xff07  ＇     FULLWIDTH APOSTROPHE
0xff08  （     FULLWIDTH LEFT PARENTHESIS
0xff09  ）     FULLWIDTH RIGHT PARENTHESIS
0xff0a  ＊     FULLWIDTH ASTERISK
0xff0b  ＋     FULLWIDTH PLUS SIGN
0xff0c  ，     FULLWIDTH COMMA
0xff0d  －     FULLWIDTH HYPHEN-MINUS
0xff0e  ．     FULLWIDTH FULL STOP
0xff0f  ／     FULLWIDTH SOLIDUS
0xff10  ０     FULLWIDTH DIGIT ZERO
0xff11  １     FULLWIDTH DIGIT ONE
0xff12  ２     FULLWIDTH DIGIT TWO
0xff13  ３     FULLWIDTH DIGIT THREE
0xff14  ４     FULLWIDTH DIGIT FOUR
0xff15  ５     FULLWIDTH DIGIT FIVE
0xff16  ６     FULLWIDTH DIGIT SIX
0xff17  ７     FULLWIDTH DIGIT SEVEN
0xff18  ８     FULLWIDTH DIGIT EIGHT
0xff19  ９     FULLWIDTH DIGIT NINE
0xff1a  ：     FULLWIDTH COLON
0xff1b  ；     FULLWIDTH SEMICOLON
0xff1c  ＜     FULLWIDTH LESS-THAN SIGN
0xff1d  ＝     FULLWIDTH EQUALS SIGN
0xff1e  ＞     FULLWIDTH GREATER-THAN SIGN
0xff1f  ？     FULLWIDTH QUESTION MARK
0xff20  ＠     FULLWIDTH COMMERCIAL AT
0xff21  Ａ     FULLWIDTH LATIN CAPITAL LETTER A
0xff22  Ｂ     FULLWIDTH LATIN CAPITAL LETTER B
0xff23  Ｃ     FULLWIDTH LATIN CAPITAL LETTER C
0xff24  Ｄ     FULLWIDTH LATIN CAPITAL LETTER D
0xff25  Ｅ     FULLWIDTH LATIN CAPITAL LETTER E
0xff26  Ｆ     FULLWIDTH LATIN CAPITAL LETTER F
0xff27  Ｇ     FULLWIDTH LATIN CAPITAL LETTER G
0xff28  Ｈ     FULLWIDTH LATIN CAPITAL LETTER H
0xff29  Ｉ     FULLWIDTH LATIN CAPITAL LETTER I
0xff2a  Ｊ     FULLWIDTH LATIN CAPITAL LETTER J
0xff2b  Ｋ     FULLWIDTH LATIN CAPITAL LETTER K
0xff2c  Ｌ     FULLWIDTH LATIN CAPITAL LETTER L
0xff2d  Ｍ     FULLWIDTH LATIN CAPITAL LETTER M
0xff2e  Ｎ     FULLWIDTH LATIN CAPITAL LETTER N
0xff2f  Ｏ     FULLWIDTH LATIN CAPITAL LETTER O
0xff30  Ｐ     FULLWIDTH LATIN CAPITAL LETTER P
0xff31  Ｑ     FULLWIDTH LATIN CAPITAL LETTER Q
0xff32  Ｒ     FULLWIDTH LATIN CAPITAL LETTER R
0xff33  Ｓ     FULLWIDTH LATIN CAPITAL LETTER S
0xff34  Ｔ     FULLWIDTH LATIN CAPITAL LETTER T
0xff35  Ｕ     FULLWIDTH LATIN CAPITAL LETTER U
0xff36  Ｖ     FULLWIDTH LATIN CAPITAL LETTER V
0xff37  Ｗ     FULLWIDTH LATIN CAPITAL LETTER W
0xff38  Ｘ     FULLWIDTH LATIN CAPITAL LETTER X
0xff39  Ｙ     FULLWIDTH LATIN CAPITAL LETTER Y
0xff3a  Ｚ     FULLWIDTH LATIN CAPITAL LETTER Z
0xff3b  ［     FULLWIDTH LEFT SQUARE BRACKET
0xff3c  ＼     FULLWIDTH REVERSE SOLIDUS
0xff3d  ］     FULLWIDTH RIGHT SQUARE BRACKET
0xff3e  ＾     FULLWIDTH CIRCUMFLEX ACCENT
0xff3f  ＿     FULLWIDTH LOW LINE
0xff40  ｀     FULLWIDTH GRAVE ACCENT
0xff41  ａ     FULLWIDTH LATIN SMALL LETTER A
0xff42  ｂ     FULLWIDTH LATIN SMALL LETTER B
0xff43  ｃ     FULLWIDTH LATIN SMALL LETTER C
0xff44  ｄ     FULLWIDTH LATIN SMALL LETTER D
0xff45  ｅ     FULLWIDTH LATIN SMALL LETTER E
0xff46  ｆ     FULLWIDTH LATIN SMALL LETTER F
0xff47  ｇ     FULLWIDTH LATIN SMALL LETTER G
0xff48  ｈ     FULLWIDTH LATIN SMALL LETTER H
0xff49  ｉ     FULLWIDTH LATIN SMALL LETTER I
0xff4a  ｊ     FULLWIDTH LATIN SMALL LETTER J
0xff4b  ｋ     FULLWIDTH LATIN SMALL LETTER K
0xff4c  ｌ     FULLWIDTH LATIN SMALL LETTER L
0xff4d  ｍ     FULLWIDTH LATIN SMALL LETTER M
0xff4e  ｎ     FULLWIDTH LATIN SMALL LETTER N
0xff4f  ｏ     FULLWIDTH LATIN SMALL LETTER O
0xff50  ｐ     FULLWIDTH LATIN SMALL LETTER P
0xff51  ｑ     FULLWIDTH LATIN SMALL LETTER Q
0xff52  ｒ     FULLWIDTH LATIN SMALL LETTER R
0xff53  ｓ     FULLWIDTH LATIN SMALL LETTER S
0xff54  ｔ     FULLWIDTH LATIN SMALL LETTER T
0xff55  ｕ     FULLWIDTH LATIN SMALL LETTER U
0xff56  ｖ     FULLWIDTH LATIN SMALL LETTER V
0xff57  ｗ     FULLWIDTH LATIN SMALL LETTER W
0xff58  ｘ     FULLWIDTH LATIN SMALL LETTER X
0xff59  ｙ     FULLWIDTH LATIN SMALL LETTER Y
0xff5a  ｚ     FULLWIDTH LATIN SMALL LETTER Z
0xff5b  ｛     FULLWIDTH LEFT CURLY BRACKET
0xff5c  ｜     FULLWIDTH VERTICAL LINE
0xff5d  ｝     FULLWIDTH RIGHT CURLY BRACKET
0xff5e  ～     FULLWIDTH TILDE
