0xffa0  ￝     HALFWIDTH HANGUL FILLER
0xffa1  ﾡ     HALFWIDTH HANGUL LETTER KIYEOK
0xffa2  ﾢ     HALFWIDTH HANGUL LETTER SSANGKIYEOK
0xffa3  ﾣ     HALFWIDTH HANGUL LETTER KIYEOK-SIOS
0xffa4  ﾤ     HALFWIDTH HANGUL LETTER NIEUN
0xffa5  ﾥ     HALFWIDTH HANGUL LETTER NIEUN-CIEUC
0xffa6  ﾦ     HALFWIDTH HANGUL LETTER NIEUN-HIEUH
0xffa7  ﾧ     HALFWIDTH HANGUL LETTER TIKEUT
0xffa8  ﾨ     HALFWIDTH HANGUL LETTER SSANGTIKEUT
0xffa9  ﾩ     HALFWIDTH HANGUL LETTER RIEUL
0xffaa  ﾪ     HALFWIDTH HANGUL LETTER RIEUL-KIYEOK
0xffab  ﾫ     HALFWIDTH HANGUL LETTER RIEUL-MIEUM
0xffac  ﾬ     HALFWIDTH HANGUL LETTER RIEUL-PIEUP
0xffad  ﾭ     HALFWIDTH HANGUL LETTER RIEUL-SIOS
0xffae  ﾮ     HALFWIDTH HANGUL LETTER RIEUL-THIEUTH
0xffaf  ﾯ     HALFWIDTH HANGUL LETTER RIEUL-PHIEUPH
0xffb0  ﾰ     HALFWIDTH HANGUL LETTER RIEUL-HIEUH
0xffb1  ﾱ     HALFWIDTH HANGUL LETTER MIEUM
0xffb2  ﾲ     HALFWIDTH HANGUL LETTER PIEUP
0xffb3  ﾳ     HALFWIDTH HANGUL LETTER SSANGPIEUP
0xffb4  ﾴ     HALFWIDTH HANGUL LETTER PIEUP-SIOS
0xffb5  ﾵ     HALFWIDTH HANGUL LETTER SIOS
0xffb6  ﾶ     HALFWIDTH HANGUL LETTER SSANGSIOS
0xffb7  ﾷ     HALFWIDTH HANGUL LETTER IEUNG
0xffb8  ﾸ     HALFWIDTH HANGUL LETTER CIEUC
0xffb9  ﾹ     HALFWIDTH HANGUL LETTER SSANGCIEUC
0xffba  ﾺ     HALFWIDTH HANGUL LETTER CHIEUCH
0xffbb  ﾻ     HALFWIDTH HANGUL LETTER KHIEUKH
0xffbc  ﾼ     HALFWIDTH HANGUL LETTER THIEUTH
0xffbd  ﾽ     HALFWIDTH HANGUL LETTER PHIEUPH
0xffbe  ﾾ     HALFWIDTH HANGUL LETTER HIEUH
0xffbf  ﾿     <RESERVED>
0xffc0  ￀     <RESERVED>
0xffc1  ￁     <RESERVED>
0xffc2  ￂ     HALFWIDTH HANGUL LETTER A
0xffc3  ￃ     HALFWIDTH HANGUL LETTER AE
0xffc4  ￄ     HALFWIDTH HANGUL LETTER YA
0xffc5  ￅ     HALFWIDTH HANGUL LETTER YAE
0xffc6  ￆ     HALFWIDTH HANGUL LETTER EO
0xffc7  ￇ     HALFWIDTH HANGUL LETTER E
0xffc8  ￈     <RESERVED>
0xffc9  ￉     <RESERVED>
0xffca  ￊ     HALFWIDTH HANGUL LETTER YEO
0xffcb  ￋ     HALFWIDTH HANGUL LETTER YE
0xffcc  ￌ     HALFWIDTH HANGUL LETTER O
0xffcd  ￍ     HALFWIDTH HANGUL LETTER WA
0xffce  ￎ     HALFWIDTH HANGUL LETTER WAE
0xffcf  ￏ     HALFWIDTH HANGUL LETTER OE
0xffd0  ￐     <RESERVED>
0xffd1  ￑     <RESERVED>
0xffd2  ￒ     HALFWIDTH HANGUL LETTER YO
0xffd3  ￓ     HALFWIDTH HANGUL LETTER U
0xffd4  ￔ     HALFWIDTH HANGUL LETTER WEO
0xffd5  ￕ     HALFWIDTH HANGUL LETTER WE
0xffd6  ￖ     HALFWIDTH HANGUL LETTER WI
0xffd7  ￗ     HALFWIDTH HANGUL LETTER YU
0xffd8  ￘     <RESERVED>
0xffd9  ￙     <RESERVED>
0xffda  ￚ     HALFWIDTH HANGUL LETTER EU
0xffdb  ￛ     HALFWIDTH HANGUL LETTER YI
0xffdc  ￜ     HALFWIDTH HANGUL LETTER I
