0xff65  ･     HALFWIDTH KATAKANA MIDDLE DOT
0xff66  ｦ     HALFWIDTH KATAKANA LETTER WO
0xff67  ｧ     HALFWIDTH KATAKANA LETTER SMALL A
0xff68  ｨ     HALFWIDTH KATAKANA LETTER SMALL I
0xff69  ｩ     HALFWIDTH KATAKANA LETTER SMALL U
0xff6a  ｪ     HALFWIDTH KATAKANA LETTER SMALL E
0xff6b  ｫ     HALFWIDTH KATAKANA LETTER SMALL O
0xff6c  ｬ     HALFWIDTH KATAKANA LETTER SMALL YA
0xff6d  ｭ     HALFWIDTH KATAKANA LETTER SMALL YU
0xff6e  ｮ     HALFWIDTH KATAKANA LETTER SMALL YO
0xff6f  ｯ     HALFWIDTH KATAKANA LETTER SMALL TU
0xff70  ｰ     HALFWIDTH KATAKANA-HIRAGANA PROLONGED SOUND MARK
0xff71  ｱ     HALFWIDTH KATAKANA LETTER A
0xff72  ｲ     HALFWIDTH KATAKANA LETTER I
0xff73  ｳ     HALFWIDTH KATAKANA LETTER U
0xff74  ｴ     HALFWIDTH KATAKANA LETTER E
0xff75  ｵ     HALFWIDTH KATAKANA LETTER O
0xff76  ｶ     HALFWIDTH KATAKANA LETTER KA
0xff77  ｷ     HALFWIDTH KATAKANA LETTER KI
0xff78  ｸ     HALFWIDTH KATAKANA LETTER KU
0xff79  ｹ     HALFWIDTH KATAKANA LETTER KE
0xff7a  ｺ     HALFWIDTH KATAKANA LETTER KO
0xff7b  ｻ     HALFWIDTH KATAKANA LETTER SA
0xff7c  ｼ     HALFWIDTH KATAKANA LETTER SI
0xff7d  ｽ     HALFWIDTH KATAKANA LETTER SU
0xff7e  ｾ     HALFWIDTH KATAKANA LETTER SE
0xff7f  ｿ     HALFWIDTH KATAKANA LETTER SO
0xff80  ﾀ     HALFWIDTH KATAKANA LETTER TA
0xff81  ﾁ     HALFWIDTH KATAKANA LETTER TI
0xff82  ﾂ     HALFWIDTH KATAKANA LETTER TU
0xff83  ﾃ     HALFWIDTH KATAKANA LETTER TE
0xff84  ﾄ     HALFWIDTH KATAKANA LETTER TO
0xff85  ﾅ     HALFWIDTH KATAKANA LETTER NA
0xff86  ﾆ     HALFWIDTH KATAKANA LETTER NI
0xff87  ﾇ     HALFWIDTH KATAKANA LETTER NU
0xff88  ﾈ     HALFWIDTH KATAKANA LETTER NE
0xff89  ﾉ     HALFWIDTH KATAKANA LETTER NO
0xff8a  ﾊ     HALFWIDTH KATAKANA LETTER HA
0xff8b  ﾋ     HALFWIDTH KATAKANA LETTER HI
0xff8c  ﾌ     HALFWIDTH KATAKANA LETTER HU
0xff8d  ﾍ     HALFWIDTH KATAKANA LETTER HE
0xff8e  ﾎ     HALFWIDTH KATAKANA LETTER HO
0xff8f  ﾏ     HALFWIDTH KATAKANA LETTER MA
0xff90  ﾐ     HALFWIDTH KATAKANA LETTER MI
0xff91  ﾑ     HALFWIDTH KATAKANA LETTER MU
0xff92  ﾒ     HALFWIDTH KATAKANA LETTER ME
0xff93  ﾓ     HALFWIDTH KATAKANA LETTER MO
0xff94  ﾔ     HALFWIDTH KATAKANA LETTER YA
0xff95  ﾕ     HALFWIDTH KATAKANA LETTER YU
0xff96  ﾖ     HALFWIDTH KATAKANA LETTER YO
0xff97  ﾗ     HALFWIDTH KATAKANA LETTER RA
0xff98  ﾘ     HALFWIDTH KATAKANA LETTER RI
0xff99  ﾙ     HALFWIDTH KATAKANA LETTER RU
0xff9a  ﾚ     HALFWIDTH KATAKANA LETTER RE
0xff9b  ﾛ     HALFWIDTH KATAKANA LETTER RO
0xff9c  ﾜ     HALFWIDTH KATAKANA LETTER WA
0xff9d  ﾝ     HALFWIDTH KATAKANA LETTER N
0xff9e  ﾞ     HALFWIDTH KATAKANA VOICED SOUND MARK
0xff9f  ﾟ     HALFWIDTH KATAKANA SEMI-VOICED SOUND MARK
