0x14a  Ŋ     LATIN CAPITAL LETTER ENG
0x14b  ŋ     LATIN SMALL LETTER ENG
0x14c  Ō     LATIN CAPITAL LETTER O WITH MACRON
0x14d  ō     LATIN SMALL LETTER O WITH MACRON
0x14e  Ŏ     LATIN CAPITAL LETTER O WITH BREVE
0x14f  ŏ     LATIN SMALL LETTER O WITH BREVE
0x150  Ő     LATIN CAPITAL LETTER O WITH DOUBLE ACUTE
0x151  ő     LATIN SMALL LETTER O WITH DOUBLE ACUTE
0x152  Œ     LATIN CAPITAL LIGATURE OE
0x153  œ     LATIN SMALL LIGATURE OE
0x154  Ŕ     LATIN CAPITAL LETTER R WITH ACUTE
0x155  ŕ     LATIN SMALL LETTER R WITH ACUTE
0x156  Ŗ     LATIN CAPITAL LETTER R WITH CEDILLA
0x157  ŗ     LATIN SMALL LETTER R WITH CEDILLA
0x158  Ř     LATIN CAPITAL LETTER R WITH CARON
0x159  ř     LATIN SMALL LETTER R WITH CARON
0x15a  Ś     LATIN CAPITAL LETTER S WITH ACUTE
0x15b  ś     LATIN SMALL LETTER S WITH ACUTE
0x15c  Ŝ     LATIN CAPITAL LETTER S WITH CIRCUMFLEX
0x15d  ŝ     LATIN SMALL LETTER S WITH CIRCUMFLEX
0x15e  Ş     LATIN CAPITAL LETTER S WITH CEDILLA
0x15f  ş     LATIN SMALL LETTER S WITH CEDILLA
0x160  Š     LATIN CAPITAL LETTER S WITH CARON
0x161  š     LATIN SMALL LETTER S WITH CARON
0x162  Ţ     LATIN CAPITAL LETTER T WITH CEDILLA
0x163  ţ     LATIN SMALL LETTER T WITH CEDILLA
0x164  Ť     LATIN CAPITAL LETTER T WITH CARON
0x165  ť     LATIN SMALL LETTER T WITH CARON
0x166  Ŧ     LATIN CAPITAL LETTER T WITH STROKE
0x167  ŧ     LATIN SMALL LETTER T WITH STROKE
0x168  Ũ     LATIN CAPITAL LETTER U WITH TILDE
0x169  ũ     LATIN SMALL LETTER U WITH TILDE
0x16a  Ū     LATIN CAPITAL LETTER U WITH MACRON
0x16b  ū     LATIN SMALL LETTER U WITH MACRON
0x16c  Ŭ     LATIN CAPITAL LETTER U WITH BREVE
0x16d  ŭ     LATIN SMALL LETTER U WITH BREVE
0x16e  Ů     LATIN CAPITAL LETTER U WITH RING ABOVE
0x16f  ů     LATIN SMALL LETTER U WITH RING ABOVE
0x170  Ű     LATIN CAPITAL LETTER U WITH DOUBLE ACUTE
0x171  ű     LATIN SMALL LETTER U WITH DOUBLE ACUTE
0x172  Ų     LATIN CAPITAL LETTER U WITH OGONEK
0x173  ų     LATIN SMALL LETTER U WITH OGONEK
0x174  Ŵ     LATIN CAPITAL LETTER W WITH CIRCUMFLEX
0x175  ŵ     LATIN SMALL LETTER W WITH CIRCUMFLEX
0x176  Ŷ     LATIN CAPITAL LETTER Y WITH CIRCUMFLEX
0x177  ŷ     LATIN SMALL LETTER Y WITH CIRCUMFLEX
0x178  Ÿ     LATIN CAPITAL LETTER Y WITH DIAERESIS
0x179  Ź     LATIN CAPITAL LETTER Z WITH ACUTE
0x17a  ź     LATIN SMALL LETTER Z WITH ACUTE
0x17b  Ż     LATIN CAPITAL LETTER Z WITH DOT ABOVE
0x17c  ż     LATIN SMALL LETTER Z WITH DOT ABOVE
0x17d  Ž     LATIN CAPITAL LETTER Z WITH CARON
0x17e  ž     LATIN SMALL LETTER Z WITH CARON
0x17f  ſ     LATIN SMALL LETTER LONG S
