0x21c  Ȝ     LATIN CAPITAL LETTER YOGH
0x21d  ȝ     LATIN SMALL LETTER YOGH
0x21e  Ȟ     LATIN CAPITAL LETTER H WITH CARON
0x21f  ȟ     LATIN SMALL LETTER H WITH CARON
0x220  Ƞ     LATIN CAPITAL LETTER N WITH LONG RIGHT LEG
0x221  ȡ     LATIN SMALL LETTER D WITH CURL
0x222  Ȣ     LATIN CAPITAL LETTER OU
0x223  ȣ     LATIN SMALL LETTER OU
0x224  Ȥ     LATIN CAPITAL LETTER Z WITH HOOK
0x225  ȥ     LATIN SMALL LETTER Z WITH HOOK
0x226  Ȧ     LATIN CAPITAL LETTER A WITH DOT ABOVE
0x227  ȧ     LATIN SMALL LETTER A WITH DOT ABOVE
0x228  Ȩ     LATIN CAPITAL LETTER E WITH CEDILLA
0x229  ȩ     LATIN SMALL LETTER E WITH CEDILLA
