0xa0     NO-BREAK SPACE
0xa1  ¡  INVERTED EXCLAMATION MARK
0xa2  ¢  CENT SIGN
0xa3  £  POUND SIGN
0xa4  ¤  CURRENCY SIGN
0xa5  ¥  YEN SIGN
0xa6  ¦  BROKEN BAR
0xa7  §  SECTION SIGN
0xa8  ¨  DIAERESIS
0xa9  ©  COPYRIGHT SIGN
0xaa  ª  FEMININE ORDINAL INDICATOR
0xab  «  LEFT-POINTING DOUBLE ANGLE QUOTATION MARK
0xac  ¬  NOT SIGN
0xad  ­  SOFT HYPHEN
0xae  ®  REGISTERED SIGN
0xaf  ¯  MACRON
0xb0  °  DEGREE SIGN
0xb1  ±  PLUS-MINUS SIGN
0xb2  ²  SUPERSCRIPT TWO
0xb3  ³  SUPERSCRIPT THREE
0xb4  ´  ACUTE ACCENT
0xb5  µ  MICRO SIGN
0xb6  ¶  PILCROW SIGN
0xb7  ·  MIDDLE DOT
0xb8  ¸  CEDILLA
0xb9  ¹  SUPERSCRIPT ONE
0xba  º  MASCULINE ORDINAL INDICATOR
0xbb  »  RIGHT-POINTING DOUBLE ANGLE QUOTATION MARK
