0x1d2c  ᴬ     MODIFIER LETTER CAPITAL A
0x1d2d  ᴭ     MODIFIER LETTER CAPITAL AE
0x1d2e  ᴮ     MODIFIER LETTER CAPITAL B
0x1d2f  ᴯ     MODIFIER LETTER CAPITAL BARRED B
0x1d30  ᴰ     MODIFIER LETTER CAPITAL D
0x1d31  ᴱ     MODIFIER LETTER CAPITAL E
0x1d32  ᴲ     MODIFIER LETTER CAPITAL REVERSED E
0x1d33  ᴳ     MODIFIER LETTER CAPITAL G
0x1d34  ᴴ     MODIFIER LETTER CAPITAL H
0x1d35  ᴵ     MODIFIER LETTER CAPITAL I
0x1d36  ᴶ     MODIFIER LETTER CAPITAL J
0x1d37  ᴷ     MODIFIER LETTER CAPITAL K
0x1d38  ᴸ     MODIFIER LETTER CAPITAL L
0x1d39  ᴹ     MODIFIER LETTER CAPITAL M
0x1d3a  ᴺ     MODIFIER LETTER CAPITAL N
0x1d3b  ᴻ     MODIFIER LETTER CAPITAL REVERSED N
0x1d3c  ᴼ     MODIFIER LETTER CAPITAL O
0x1d3d  ᴽ     MODIFIER LETTER CAPITAL OU
0x1d3e  ᴾ     MODIFIER LETTER CAPITAL P
0x1d3f  ᴿ     MODIFIER LETTER CAPITAL R
0x1d40  ᵀ     MODIFIER LETTER CAPITAL T
0x1d41  ᵁ     MODIFIER LETTER CAPITAL U
0x1d42  ᵂ     MODIFIER LETTER CAPITAL W
0x1d43  ᵃ     MODIFIER LETTER SMALL A
0x1d44  ᵄ     MODIFIER LETTER SMALL TURNED A
0x1d45  ᵅ     MODIFIER LETTER SMALL ALPHA
0x1d46  ᵆ     MODIFIER LETTER SMALL TURNED AE
0x1d47  ᵇ     MODIFIER LETTER SMALL B
0x1d48  ᵈ     MODIFIER LETTER SMALL D
0x1d49  ᵉ     MODIFIER LETTER SMALL E
0x1d4a  ᵊ     MODIFIER LETTER SMALL SCHWA
0x1d4b  ᵋ     MODIFIER LETTER SMALL OPEN E
0x1d4c  ᵌ     MODIFIER LETTER SMALL TURNED OPEN E
0x1d4d  ᵍ     MODIFIER LETTER SMALL G
0x1d4e  ᵎ     MODIFIER LETTER SMALL TURNED I
0x1d4f  ᵏ     MODIFIER LETTER SMALL K
0x1d50  ᵐ     MODIFIER LETTER SMALL M
0x1d51  ᵑ     MODIFIER LETTER SMALL ENG
0x1d52  ᵒ     MODIFIER LETTER SMALL O
0x1d53  ᵓ     MODIFIER LETTER SMALL OPEN O
0x1d54  ᵔ     MODIFIER LETTER SMALL TOP HALF O
0x1d55  ᵕ     MODIFIER LETTER SMALL BOTTOM HALF O
0x1d56  ᵖ     MODIFIER LETTER SMALL P
0x1d57  ᵗ     MODIFIER LETTER SMALL T
0x1d58  ᵘ     MODIFIER LETTER SMALL U
0x1d59  ᵙ     MODIFIER LETTER SMALL SIDEWAYS U
0x1d5a  ᵚ     MODIFIER LETTER SMALL TURNED M
0x1d5b  ᵛ     MODIFIER LETTER SMALL V
0x1d5c  ᵜ     MODIFIER LETTER SMALL AIN
