0xd15  ക     MALAYALAM LETTER KA
0xd16  ഖ     MALAYALAM LETTER KHA
0xd17  ഗ     MALAYALAM LETTER GA
0xd18  ഘ     MALAYALAM LETTER GHA
0xd19  ങ     MALAYALAM LETTER NGA
0xd1a  ച     MALAYALAM LETTER CA
0xd1b  ഛ     MALAYALAM LETTER CHA
0xd1c  ജ     MALAYALAM LETTER JA
0xd1d  ഝ     MALAYALAM LETTER JHA
0xd1e  ഞ     MALAYALAM LETTER NYA
0xd1f  ട     MALAYALAM LETTER TTA
0xd20  ഠ     MALAYALAM LETTER TTHA
0xd21  ഡ     MALAYALAM LETTER DDA
0xd22  ഢ     MALAYALAM LETTER DDHA
0xd23  ണ     MALAYALAM LETTER NNA
0xd24  ത     MALAYALAM LETTER TA
0xd25  ഥ     MALAYALAM LETTER THA
0xd26  ദ     MALAYALAM LETTER DA
0xd27  ധ     MALAYALAM LETTER DHA
0xd28  ന     MALAYALAM LETTER NA
0xd29  ഩ     MALAYALAM LETTER NNNA
0xd2a  പ     MALAYALAM LETTER PA
0xd2b  ഫ     MALAYALAM LETTER PHA
0xd2c  ബ     MALAYALAM LETTER BA
0xd2d  ഭ     MALAYALAM LETTER BHA
0xd2e  മ     MALAYALAM LETTER MA
0xd2f  യ     MALAYALAM LETTER YA
0xd30  ര     MALAYALAM LETTER RA
0xd31  റ     MALAYALAM LETTER RRA
0xd32  ല     MALAYALAM LETTER LA
0xd33  ള     MALAYALAM LETTER LLA
0xd34  ഴ     MALAYALAM LETTER LLLA
0xd35  വ     MALAYALAM LETTER VA
0xd36  ശ     MALAYALAM LETTER SHA
0xd37  ഷ     MALAYALAM LETTER SSA
0xd38  സ     MALAYALAM LETTER SA
0xd39  ഹ     MALAYALAM LETTER HA
0xd3a  ഺ     MALAYALAM LETTER TTTA
