0xd05  അ     MALAYALAM LETTER A
0xd06  ആ     MALAYALAM LETTER AA
0xd07  ഇ     MALAYALAM LETTER I
0xd08  ഈ     MALAYALAM LETTER II
0xd09  ഉ     MALAYALAM LETTER U
0xd0a  ഊ     MALAYALAM LETTER UU
0xd0b  ഋ     MALAYALAM LETTER VOCALIC R
0xd0c  ഌ     MALAYALAM LETTER VOCALIC L
0xd0d  ഍     <RESERVED>
0xd0e  എ     MALAYALAM LETTER E
0xd0f  ഏ     MALAYALAM LETTER EE
0xd10  ഐ     MALAYALAM LETTER AI
0xd11  ഑     <RESERVED>
0xd12  ഒ     MALAYALAM LETTER O
0xd13  ഓ     MALAYALAM LETTER OO
0xd14  ഔ     MALAYALAM LETTER AU
