0x1c5a  ᱚ     OL CHIKI LETTER LA
0x1c5b  ᱛ     OL CHIKI LETTER AT
0x1c5c  ᱜ     OL CHIKI LETTER AG
0x1c5d  ᱝ     OL CHIKI LETTER ANG
0x1c5e  ᱞ     OL CHIKI LETTER AL
0x1c5f  ᱟ     OL CHIKI LETTER LAA
0x1c60  ᱠ     OL CHIKI LETTER AAK
0x1c61  ᱡ     OL CHIKI LETTER AAJ
0x1c62  ᱢ     OL CHIKI LETTER AAM
0x1c63  ᱣ     OL CHIKI LETTER AAW
0x1c64  ᱤ     OL CHIKI LETTER LI
0x1c65  ᱥ     OL CHIKI LETTER IS
0x1c66  ᱦ     OL CHIKI LETTER IH
0x1c67  ᱧ     OL CHIKI LETTER INY
0x1c68  ᱨ     OL CHIKI LETTER IR
0x1c69  ᱩ     OL CHIKI LETTER LU
0x1c6a  ᱪ     OL CHIKI LETTER UC
0x1c6b  ᱫ     OL CHIKI LETTER UD
0x1c6c  ᱬ     OL CHIKI LETTER UNN
0x1c6d  ᱭ     OL CHIKI LETTER UY
0x1c6e  ᱮ     OL CHIKI LETTER LE
0x1c6f  ᱯ     OL CHIKI LETTER EP
0x1c70  ᱰ     OL CHIKI LETTER EDD
0x1c71  ᱱ     OL CHIKI LETTER EN
0x1c72  ᱲ     OL CHIKI LETTER ERR
0x1c73  ᱳ     OL CHIKI LETTER LO
0x1c74  ᱴ     OL CHIKI LETTER OTT
0x1c75  ᱵ     OL CHIKI LETTER OB
0x1c76  ᱶ     OL CHIKI LETTER OV
0x1c77  ᱷ     OL CHIKI LETTER OH
