0x1c50  ᱐     OL CHIKI DIGIT ZERO
0x1c51  ᱑     OL CHIKI DIGIT ONE
0x1c52  ᱒     OL CHIKI DIGIT TWO
0x1c53  ᱓     OL CHIKI DIGIT THREE
0x1c54  ᱔     OL CHIKI DIGIT FOUR
0x1c55  ᱕     OL CHIKI DIGIT FIVE
0x1c56  ᱖     OL CHIKI DIGIT SIX
0x1c57  ᱗     OL CHIKI DIGIT SEVEN
0x1c58  ᱘     OL CHIKI DIGIT EIGHT
0x1c59  ᱙     OL CHIKI DIGIT NINE
0x1c5a  ᱚ     OL CHIKI LETTER LA
0x1c5b  ᱛ     OL CHIKI LETTER AT
0x1c5c  ᱜ     OL CHIKI LETTER AG
0x1c5d  ᱝ     OL CHIKI LETTER ANG
0x1c5e  ᱞ     OL CHIKI LETTER AL
0x1c5f  ᱟ     OL CHIKI LETTER LAA
0x1c60  ᱠ     OL CHIKI LETTER AAK
0x1c61  ᱡ     OL CHIKI LETTER AAJ
0x1c62  ᱢ     OL CHIKI LETTER AAM
0x1c63  ᱣ     OL CHIKI LETTER AAW
0x1c64  ᱤ     OL CHIKI LETTER LI
0x1c65  ᱥ     OL CHIKI LETTER IS
0x1c66  ᱦ     OL CHIKI LETTER IH
0x1c67  ᱧ     OL CHIKI LETTER INY
0x1c68  ᱨ     OL CHIKI LETTER IR
0x1c69  ᱩ     OL CHIKI LETTER LU
0x1c6a  ᱪ     OL CHIKI LETTER UC
0x1c6b  ᱫ     OL CHIKI LETTER UD
0x1c6c  ᱬ     OL CHIKI LETTER UNN
0x1c6d  ᱭ     OL CHIKI LETTER UY
0x1c6e  ᱮ     OL CHIKI LETTER LE
0x1c6f  ᱯ     OL CHIKI LETTER EP
0x1c70  ᱰ     OL CHIKI LETTER EDD
0x1c71  ᱱ     OL CHIKI LETTER EN
0x1c72  ᱲ     OL CHIKI LETTER ERR
0x1c73  ᱳ     OL CHIKI LETTER LO
0x1c74  ᱴ     OL CHIKI LETTER OTT
0x1c75  ᱵ     OL CHIKI LETTER OB
0x1c76  ᱶ     OL CHIKI LETTER OV
0x1c77  ᱷ     OL CHIKI LETTER OH
0x1c78  ᱸ     OL CHIKI MU TTUDDAG
0x1c79  ᱹ     OL CHIKI GAAHLAA TTUDDAAG
0x1c7a  ᱺ     OL CHIKI MU-GAAHLAA TTUDDAAG
0x1c7b  ᱻ     OL CHIKI RELAA
0x1c7c  ᱼ     OL CHIKI PHAARKAA
0x1c7d  ᱽ     OL CHIKI AHAD
0x1c7e  ᱾     OL CHIKI PUNCTUATION MUCAAD
0x1c7f  ᱿     OL CHIKI PUNCTUATION DOUBLE MUCAAD
