0xb15  କ     ORIYA LETTER KA
0xb16  ଖ     ORIYA LETTER KHA
0xb17  ଗ     ORIYA LETTER GA
0xb18  ଘ     ORIYA LETTER GHA
0xb19  ଙ     ORIYA LETTER NGA
0xb1a  ଚ     ORIYA LETTER CA
0xb1b  ଛ     ORIYA LETTER CHA
0xb1c  ଜ     ORIYA LETTER JA
0xb1d  ଝ     ORIYA LETTER JHA
0xb1e  ଞ     ORIYA LETTER NYA
0xb1f  ଟ     ORIYA LETTER TTA
0xb20  ଠ     ORIYA LETTER TTHA
0xb21  ଡ     ORIYA LETTER DDA
0xb22  ଢ     ORIYA LETTER DDHA
0xb23  ଣ     ORIYA LETTER NNA
0xb24  ତ     ORIYA LETTER TA
0xb25  ଥ     ORIYA LETTER THA
0xb26  ଦ     ORIYA LETTER DA
0xb27  ଧ     ORIYA LETTER DHA
0xb28  ନ     ORIYA LETTER NA
0xb29  ଩     <RESERVED>
0xb2a  ପ     ORIYA LETTER PA
0xb2b  ଫ     ORIYA LETTER PHA
0xb2c  ବ     ORIYA LETTER BA
0xb2d  ଭ     ORIYA LETTER BHA
0xb2e  ମ     ORIYA LETTER MA
0xb2f  ଯ     ORIYA LETTER YA
0xb30  ର     ORIYA LETTER RA
0xb31  ଱     <RESERVED>
0xb32  ଲ     ORIYA LETTER LA
0xb33  ଳ     ORIYA LETTER LLA
0xb34  ଴     <RESERVED>
0xb35  ଵ     ORIYA LETTER VA
0xb36  ଶ     ORIYA LETTER SHA
0xb37  ଷ     ORIYA LETTER SSA
0xb38  ସ     ORIYA LETTER SA
0xb39  ହ     ORIYA LETTER HA
