0x110d0  𑃐     SORA SOMPENG LETTER SAH
0x110d1  𑃑     SORA SOMPENG LETTER TAH
0x110d2  𑃒     SORA SOMPENG LETTER BAH
0x110d3  𑃓     SORA SOMPENG LETTER CAH
0x110d4  𑃔     SORA SOMPENG LETTER DAH
0x110d5  𑃕     SORA SOMPENG LETTER GAH
0x110d6  𑃖     SORA SOMPENG LETTER MAH
0x110d7  𑃗     SORA SOMPENG LETTER NGAH
0x110d8  𑃘     SORA SOMPENG LETTER LAH
0x110d9  𑃙     SORA SOMPENG LETTER NAH
0x110da  𑃚     SORA SOMPENG LETTER VAH
0x110db  𑃛     SORA SOMPENG LETTER PAH
0x110dc  𑃜     SORA SOMPENG LETTER YAH
0x110dd  𑃝     SORA SOMPENG LETTER RAH
0x110de  𑃞     SORA SOMPENG LETTER HAH
0x110df  𑃟     SORA SOMPENG LETTER KAH
0x110e0  𑃠     SORA SOMPENG LETTER JAH
0x110e1  𑃡     SORA SOMPENG LETTER NYAH
