0x110d0  𑃐     SORA SOMPENG LETTER SAH
0x110d1  𑃑     SORA SOMPENG LETTER TAH
0x110d2  𑃒     SORA SOMPENG LETTER BAH
0x110d3  𑃓     SORA SOMPENG LETTER CAH
0x110d4  𑃔     SORA SOMPENG LETTER DAH
0x110d5  𑃕     SORA SOMPENG LETTER GAH
0x110d6  𑃖     SORA SOMPENG LETTER MAH
0x110d7  𑃗     SORA SOMPENG LETTER NGAH
0x110d8  𑃘     SORA SOMPENG LETTER LAH
0x110d9  𑃙     SORA SOMPENG LETTER NAH
0x110da  𑃚     SORA SOMPENG LETTER VAH
0x110db  𑃛     SORA SOMPENG LETTER PAH
0x110dc  𑃜     SORA SOMPENG LETTER YAH
0x110dd  𑃝     SORA SOMPENG LETTER RAH
0x110de  𑃞     SORA SOMPENG LETTER HAH
0x110df  𑃟     SORA SOMPENG LETTER KAH
0x110e0  𑃠     SORA SOMPENG LETTER JAH
0x110e1  𑃡     SORA SOMPENG LETTER NYAH
0x110e2  𑃢     SORA SOMPENG LETTER AH
0x110e3  𑃣     SORA SOMPENG LETTER EEH
0x110e4  𑃤     SORA SOMPENG LETTER IH
0x110e5  𑃥     SORA SOMPENG LETTER UH
0x110e6  𑃦     SORA SOMPENG LETTER OH
0x110e7  𑃧     SORA SOMPENG LETTER EH
0x110e8  𑃨     SORA SOMPENG LETTER MAE
0x110e9  𑃩     UNKNOWN
0x110ea  𑃪     UNKNOWN
0x110eb  𑃫     UNKNOWN
0x110ec  𑃬     UNKNOWN
0x110ed  𑃭     UNKNOWN
0x110ee  𑃮     UNKNOWN
0x110ef  𑃯     UNKNOWN
0x110f0  𑃰     SORA SOMPENG DIGIT ZERO
0x110f1  𑃱     SORA SOMPENG DIGIT ONE
0x110f2  𑃲     SORA SOMPENG DIGIT TWO
0x110f3  𑃳     SORA SOMPENG DIGIT THREE
0x110f4  𑃴     SORA SOMPENG DIGIT FOUR
0x110f5  𑃵     SORA SOMPENG DIGIT FIVE
0x110f6  𑃶     SORA SOMPENG DIGIT SIX
0x110f7  𑃷     SORA SOMPENG DIGIT SEVEN
0x110f8  𑃸     SORA SOMPENG DIGIT EIGHT
0x110f9  𑃹     SORA SOMPENG DIGIT NINE
0x110fa  𑃺     UNKNOWN
0x110fb  𑃻     UNKNOWN
0x110fc  𑃼     UNKNOWN
0x110fd  𑃽     UNKNOWN
0x110fe  𑃾     UNKNOWN
0x110ff  𑃿     UNKNOWN
