0xc15  క     TELUGU LETTER KA
0xc16  ఖ     TELUGU LETTER KHA
0xc17  గ     TELUGU LETTER GA
0xc18  ఘ     TELUGU LETTER GHA
0xc19  ఙ     TELUGU LETTER NGA
0xc1a  చ     TELUGU LETTER CA
0xc1b  ఛ     TELUGU LETTER CHA
0xc1c  జ     TELUGU LETTER JA
0xc1d  ఝ     TELUGU LETTER JHA
0xc1e  ఞ     TELUGU LETTER NYA
0xc1f  ట     TELUGU LETTER TTA
0xc20  ఠ     TELUGU LETTER TTHA
0xc21  డ     TELUGU LETTER DDA
0xc22  ఢ     TELUGU LETTER DDHA
0xc23  ణ     TELUGU LETTER NNA
0xc24  త     TELUGU LETTER TA
0xc25  థ     TELUGU LETTER THA
0xc26  ద     TELUGU LETTER DA
0xc27  ధ     TELUGU LETTER DHA
0xc28  న     TELUGU LETTER NA
0xc29  ఩     <RESERVED>
0xc2a  ప     TELUGU LETTER PA
0xc2b  ఫ     TELUGU LETTER PHA
0xc2c  బ     TELUGU LETTER BA
0xc2d  భ     TELUGU LETTER BHA
0xc2e  మ     TELUGU LETTER MA
0xc2f  య     TELUGU LETTER YA
0xc30  ర     TELUGU LETTER RA
0xc31  ఱ     TELUGU LETTER RRA
0xc32  ల     TELUGU LETTER LA
0xc33  ళ     TELUGU LETTER LLA
0xc34  ఴ     TELUGU LETTER LLLA
0xc35  వ     TELUGU LETTER VA
0xc36  శ     TELUGU LETTER SHA
0xc37  ష     TELUGU LETTER SSA
0xc38  స     TELUGU LETTER SA
0xc39  హ     TELUGU LETTER HA
