0xc3e  ా     TELUGU VOWEL SIGN AA
0xc3f  ి     TELUGU VOWEL SIGN I
0xc40  ీ     TELUGU VOWEL SIGN II
0xc41  ు     TELUGU VOWEL SIGN U
0xc42  ూ     TELUGU VOWEL SIGN UU
0xc43  ృ     TELUGU VOWEL SIGN VOCALIC R
0xc44  ౄ     TELUGU VOWEL SIGN VOCALIC RR
0xc45  ౅     <RESERVED>
0xc46  ె     TELUGU VOWEL SIGN E
0xc47  ే     TELUGU VOWEL SIGN EE
0xc48  ై     TELUGU VOWEL SIGN AI
0xc49  ౉     <RESERVED>
0xc4a  ొ     TELUGU VOWEL SIGN O
0xc4b  ో     TELUGU VOWEL SIGN OO
0xc4c  ౌ     TELUGU VOWEL SIGN AU
